###################################################################################
Logfile created by ME7-Logger v1.02 (c) mki, 12/2010

Used EcuDefinition file: 4B0906018DH.ecu

ECU identified with following data:
HWNumber    = 0261207928       (requested was 0261207928)
SWNumber    = 1037366497       (requested was 1037366497)
PartNumber  = 4B0906018DH      (requested was 4B0906018DH)
SWVersion   = 0004             (requested was 0004)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 18 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  31.03.2011 18:10:45.828

TimeStamp, B_bl      , B_br      , wped_w    , wub       , nmot      , gangi     , vfil_w    , tmot      , tans      , wdkba     , rl        , ti_b1     , zwout     
  sec.ms ,           ,           , % PED     , V         , rpm       , gear      , km/h      , °C        , °C        , % DK      , %         , ms        , °KW       
"TIME","Brake Light","BrakePedal","AccelPedalPosition","BatteryVoltage","EngineSpeed","SelectedGear","VehicleSpeed","CoolantTemperature","IntakeAirTemperature","ThrottlePlateAngle","EngineLoad","InjectionTime","IgnitionTimingAngleOverall"
    0.000, 0         , 0         , 32.9137   , 13.9392   , 2320      , 3         , 50.2891   , 85.5      , 24.75     , 12.549    , 51        , 5.808     , 28.5      
    0.050, 0         , 0         , 32.9137   , 13.9392   , 2320      , 3         , 50.4453   , 85.5      , 24.75     , 12.9412   , 51        , 5.832     , 28.5      
    0.100, 0         , 0         , 32.5536   , 13.8688   , 2320      , 3         , 50.5469   , 85.5      , 24.75     , 12.549    , 51        , 5.592     , 28.5      
    0.150, 0         , 0         , 31.4747   , 13.9392   , 2320      , 3         , 50.6641   , 85.5      , 24.75     , 12.549    , 51        , 5.604     , 29.25     
    0.200, 0         , 0         , 23.3814   , 14.0096   , 2320      , 3         , 50.7734   , 85.5      , 24        , 11.7647   , 50.25     , 5.268     , 18        
    0.250, 0         , 0         , 14.9279   , 14.0096   , 2320      , 3         , 50.8984   , 85.5      , 24        , 10.1961   , 48        , 4.884     , 13.5      
    0.300, 0         , 0         , 7.73326   , 14.0096   , 2320      , 3         , 50.9844   , 85.5      , 24        , 9.01961   , 44.25     , 4.308     , 9.75      
    0.350, 0         , 0         , 0.358586  , 14.0096   , 2320      , 3         , 51.1094   , 85.5      , 24        , 7.05883   , 39        , 3.684     , 6.75      
    0.400, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.1484   , 85.5      , 24        , 6.66667   , 34.5      , 3.208     , 3.75      
    0.450, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.2188   , 85.5      , 24        , 5.88235   , 30        , 2.94      , 4.5       
    0.500, 0         , 0         , 0         , 13.8688   , 2320      , 3         , 51.2656   , 85.5      , 24        , 5.88235   , 27.75     , 2.812     , 6         
    0.550, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.2578   , 85.5      , 24        , 5.4902    , 24.75     , 2.624     , 7.5       
    0.600, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.2891   , 85.5      , 24        , 5.4902    , 23.25     , 2.448     , 7.5       
    0.650, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.3281   , 85.5      , 24        , 4.70588   , 21.75     , 2.296     , 7.5       
    0.700, 0         , 0         , 0         , 14.08     , 2320      , 3         , 51.3516   , 85.5      , 24        , 4.70588   , 20.25     , 2.32      , 6.75      
    0.750, 0         , 0         , 0         , 14.08     , 2320      , 3         , 51.4063   , 85.5      , 24        , 4.31373   , 21        , 2.488     , 1.5       
    0.800, 0         , 0         , 0         , 14.0096   , 2320      , 3         , 51.3828   , 85.5      , 24        , 4.31373   , 21        , 2.408     , -0.75    
